Kernel,Gamma,C,Degree,Accuracy
poly,scale,7,5,0.8625
poly,scale,7,6,0.8375
poly,scale,7,7,0.8625
poly,scale,7,8,0.825
poly,scale,7,9,0.8375
poly,scale,7,10,0.8125
poly,scale,8,1,0.9125
poly,scale,8,2,0.7375
poly,scale,8,3,0.9125
poly,scale,8,4,0.8125
poly,scale,8,5,0.8625
poly,scale,8,6,0.8375
poly,scale,8,7,0.8625
poly,scale,8,8,0.825
poly,scale,8,9,0.8375
poly,scale,8,10,0.8125
poly,scale,9,1,0.9125
poly,scale,9,2,0.7375
poly,scale,9,3,0.9125
poly,scale,9,4,0.8125
poly,scale,9,5,0.8625
poly,scale,9,6,0.8375
poly,scale,9,7,0.8625
poly,scale,9,8,0.825
poly,scale,9,9,0.8375
poly,scale,9,10,0.8125
poly,scale,10,1,0.9125
poly,scale,10,2,0.7375
poly,scale,10,3,0.9125
poly,scale,10,4,0.8125
poly,scale,10,5,0.8625
poly,scale,10,6,0.8375
poly,scale,10,7,0.8625
poly,scale,10,8,0.825
poly,scale,10,9,0.8375
poly,scale,10,10,0.8125
rbf,auto,1,10,0.95
rbf,auto,2,10,0.95
rbf,auto,3,10,0.95
rbf,auto,4,10,0.95
rbf,auto,5,10,0.95
rbf,auto,6,10,0.95
rbf,auto,7,10,0.95
rbf,auto,8,10,0.95
rbf,auto,9,10,0.95
rbf,auto,10,10,0.95
rbf,scale,1,10,0.95
rbf,scale,2,10,0.95
rbf,scale,3,10,0.95
rbf,scale,4,10,0.95
rbf,scale,5,10,0.95
rbf,scale,6,10,0.95
rbf,scale,7,10,0.95
rbf,scale,8,10,0.95
rbf,scale,9,10,0.95
rbf,scale,10,10,0.95
linear,auto,1,10,0.9125
linear,auto,2,10,0.9125
linear,auto,3,10,0.9125
linear,auto,4,10,0.9125
linear,auto,5,10,0.9125
linear,auto,6,10,0.9125
linear,auto,7,10,0.9125
linear,auto,8,10,0.9125
linear,auto,9,10,0.9125
linear,auto,10,10,0.9125
linear,scale,1,10,0.9125
linear,scale,2,10,0.9125
linear,scale,3,10,0.9125
linear,scale,4,10,0.9125
linear,scale,5,10,0.9125
linear,scale,6,10,0.9125
linear,scale,7,10,0.9125
linear,scale,8,10,0.9125
linear,scale,9,10,0.9125
linear,scale,10,10,0.9125
